"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"327","moran","56,105",327,71.4,362,"78,546"
"328","shaffer","56,035",328,94.6,505,"59,227"
"329","mccormick","55,833",329,89.1,475,"62,663"
"330","burgess","55,686",330,77.8,407,"71,604"
"331","mcguire","55,631",331,89.6,482,"62,116"
"332","goodwin","55,542",332,79,415,"70,333"
"333","hess","55,474",333,95.9,518,"57,822"
"334","norton","55,414",334,89.7,485,"61,805"
"335","french","55,407",335,87.7,473,"63,149"
"336","osborne","55,261",336,84,457,"65,802"
"337","manning","55,234",337,76.6,402,"72,069"
"338","bowers","55,041",338,85.3,466,"64,496"
"339","roth","54,903",339,96.3,527,"57,030"
"340","harrington","54,658",340,83.9,462,"65,131"
"341","olsen","54,650",341,95.3,521,"57,357"
"342","rowe","54,414",342,82.2,452,"66,205"
"343","byrd","54,397",343,61.3,311,"88,811"
"344","neal","54,242",344,64.7,333,"83,849"
"345","hammond","54,173",345,80.8,442,"67,063"
"346","weiss","54,160",346,96.5,531,"56,153"
"347","farmer","53,971",347,79,431,"68,309"
"348","wise","53,838",348,80.7,445,"66,738"
"349","sparks","53,471",349,85.9,481,"62,234"
"350","garner","53,419",350,74.1,403,"72,052"
"351","webster","53,406",351,76.2,418,"70,123"
"352","paul","53,319",352,73.8,401,"72,248"
"353","rodgers","53,247",353,72.9,394,"73,021"
"354","moss","53,004",354,71.9,389,"73,750"
"355","garcia","52,956",355,6.2,8,"858,289"
"356","petersen","52,509",356,95.2,543,"55,185"
"357","simon","52,342",357,69.9,383,"74,839"
"358","hoover","52,295",358,93.3,532,"56,068"
"359","hodges","52,285",359,75.9,428,"68,868"
"360","haynes","52,274",360,63.7,341,"82,037"
"361","frazier","52,156",361,59.1,314,"88,325"
"362","miles","52,118",362,63.6,342,"81,933"
"363","decker","51,929",363,95.4,555,"54,450"
"364","marsh","51,855",364,85,494,"60,999"
"365","meyers","51,734",365,91.2,528,"56,744"
"366","strickland","51,657",366,78.5,456,"65,814"
"367","blake","51,294",367,74,425,"69,279"
"368","dennis","51,227",368,68.5,384,"74,784"
"369","lamb","51,183",369,87.4,511,"58,555"
"370","buchanan","51,009",370,79.9,471,"63,825"
"371","hogan","50,788",371,82.4,488,"61,651"
"372","brock","50,742",372,85,502,"59,682"
"373","yates","50,723",373,82.6,491,"61,400"
"374","cochran","50,680",374,87,514,"58,233"
"375","larsen","50,654",375,95.6,572,"52,963"
"376","conner","50,373",376,80.8,480,"62,335"
"377","lang","50,364",377,84.2,499,"59,843"
"378","daniel","50,355",378,67,380,"75,135"
"379","hubbard","49,975",379,73.5,435,"68,021"
"380","maxwell","49,854",380,75.8,458,"65,779"
"381","waters","49,540",381,75.3,455,"65,817"
"382","cannon","49,068",382,72.2,436,"67,923"
